frame,plate_text,confidence,x,y,width,height
1380,LPILJI,0.7037453651428223,2535,1740,180,52
1395,LPLLIA,0.8621401190757751,2578,1813,198,56
1395,MGJOGR,0.7951690554618835,1156,1888,206,63
1410,LALIA,0.8343433141708374,2610,1886,202,60
1410,M64ODA,0.726486325263977,1113,1991,225,67
1425,Me4oq],0.8322908282279968,1065,2116,232,71
1425,LPLLJA,0.8196647763252258,2640,1968,217,60
1440,LPLALI,0.8394193649291992,2673,2056,217,63
1455,No Text Detected,0.7308875322341919,2707,2139,225,41
1545,No Text Detected,0.750838041305542,1280,1920,206,67
1560,HX52 8F,0.7933165431022644,1237,2013,217,67
1560,cesuty,0.5044947862625122,1363,1246,138,56
1575,HXSZIBPF,0.7828658819198608,1205,2120,228,63
1575,ceSIOL,0.5864756107330322,1342,1291,157,56
1575,No Text Detected,0.5446313619613647,185,821,93,30
1590,CESIUY,0.6374130845069885,1318,1336,161,56
1590,No Text Detected,0.4299454987049103,251,795,82,30
1605,CM,0.6415601968765259,1306,1391,176,52
1620,LEGLL,0.6098567247390747,1269,1441,168,63
1635,dudexrd,0.8231327533721924,991,2105,228,63
1635,CEBLL,0.6998195052146912,1263,1501,180,56
1635,KL,0.6042721271514893,2366,1046,127,52
1635,No Text Detected,0.4081900715827942,101,817,112,37
1650,cE6IXL,0.7157163619995117,1237,1561,187,56
1650,No Text Detected,0.5618494153022766,180,791,97,37
1665,cebuL,0.7020192742347717,1220,1631,198,60
1665,SX4a,0.5443216562271118,2396,1102,135,52
1665,No Text Detected,0.5095316767692566,236,770,112,33
1680,E61e,0.6936392784118652,2413,1128,138,52
1680,cebiWL,0.6571590304374695,1185,1708,187,63
1695,CesILL,0.7367600798606873,1149,1779,206,63
1695,Ess),0.5402594804763794,2426,1162,135,52
1695,No Text Detected,0.440545916557312,204,823,93,41
1710,5551A,0.6915484666824341,2443,1194,138,48
1710,LELM,0.6875317096710205,1125,1858,195,63
1710,No Text Detected,0.4057294726371765,50,920,71,63
1725,cesiL,0.712509274482727,1098,1946,202,60
1725,SCSS P,0.6419637203216553,2461,1230,153,52
1725,No Text Detected,0.4756452441215515,135,879,75,41
1740,cebiL,0.7552922964096069,1066,2040,213,67
1740,SLs50P,0.698168158531189,2482,1271,142,52
1740,Gi8,0.6283058524131775,2606,1929,135,63
1740,No Text Detected,0.5641810894012451,82,916,105,41
1740,No Text Detected,0.4372558891773224,221,841,75,41
1755,{c56P,0.751375138759613,2495,1314,153,48
1755,cfeiy,0.7194353342056274,1025,2135,213,48
1755,Gie $,0.7051719427108765,2643,2019,157,63
1755,No Text Detected,0.5413100719451904,163,886,101,41
1755,No Text Detected,0.4251481294631958,39,817,71,52
1770,Sc5607,0.7712007164955139,2503,1357,153,52
1770,QBS,0.7215770483016968,2675,2116,153,63
1785,SC5527P,0.7359049916267395,2505,1398,157,52
1785,No Text Detected,0.4129962623119354,283,826,86,33
1800,5c56 DPA,0.743004322052002,2506,1445,161,56
1800,No Text Detected,0.6089391708374023,339,802,86,30
